timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 23:13,0.05,95104000,2377.6,-4757578,0,-4757577.6,-4746457.826109992
2024-03-08 23:13,0.00016136,95215000,7.68,15356,1,15356.212399999999,-4731101.613709993
2024-03-08 23:13,0.04983864,95215000,2372.69,4743013,1,4743013.417599999,11911.803890006617
2024-03-08 23:14,0.05,95138000,2378.45,-4759279,0,-4759278.45,-4747366.646109994
2024-03-08 23:14,0.00072889,95137000,34.67,-69379,0,-69379.07793,-4816745.724039993
2024-03-08 23:17,0.0010545,95303000,50.24,-100548,0,-100547.25350000002,-4917292.977539993
2024-03-08 23:17,0.03464379,95303000,1650.82,-3303308,0,-3303307.93837,-8220600.9159099925
2024-03-08 23:18,5.762e-05,95437000,2.74,5496,1,5496.33994,-8215104.575969992
2024-03-08 23:18,0.00031715,95437000,15.13,30252,1,30252.714549999997,-8184851.8614199925
2024-03-08 23:18,0.03864999,95436000,1844.3,3686756,1,3686756.1456400002,-4498095.715779992
2024-03-08 23:18,0.00524,95436000,250.04,499834,1,499834.60000000003,-3998261.1157799917
2024-03-08 23:18,0.00611001,95436000,291.55,582823,1,582823.3643599999,-3415437.7514199917
2024-03-08 23:21,0.036,95375000,1716.75,3431783,1,3431783.2499999995,16345.498580007814
2024-03-08 23:24,0.02006123,95463000,957.55,-1916063,0,-1916062.74949,-1899717.2509099923
2024-03-08 23:25,0.0201,95497000,959.74,1918529,1,1918529.96,18812.709090007702
2024-03-08 23:30,0.05,95500000,2387.5,-4777388,0,-4777387.5,-4758574.7909099925
2024-03-08 23:31,0.05,95800000,2395.0,-4792395,0,-4792395.0,-9550969.790909993
2024-03-08 23:32,0.05,95844000,2396.1,4789803,1,4789803.9,-4761165.890909992
2024-03-08 23:32,0.00010428,95842000,4.99,9989,1,9989.41376,-4751176.477149992
2024-03-08 23:32,0.04989572,95842000,2391.05,4779714,1,4779714.54624,28538.069090007804
2024-03-08 23:33,0.00010437,95821000,5.0,-10006,0,-10005.83777,18532.231320007806
2024-03-08 23:33,0.00432045,95821000,206.99,-414197,0,-414196.82944999996,-395664.59812999214
2024-03-08 23:36,0.0044,95972000,211.13,422065,1,422065.67000000004,26401.0718700079
2024-03-08 23:39,0.1,96001000,4800.05,-9604900,0,-9604900.05,-9578498.978129992
2024-03-08 23:40,0.0298,95899000,1428.89,2856361,1,2856361.31,-6722137.668129992
2024-03-08 23:40,0.06210719,95901000,2978.07,5953163,1,5953163.558189999,-768974.1099399924
2024-03-08 23:40,0.00436333,95901000,209.22,418238,1,418238.49033000006,-350735.61960999237
2024-03-08 23:40,0.00378087,95901000,181.29,362407,1,362407.92387,11672.30426000763
2024-03-08 23:41,0.05,95789000,2394.72,-4791845,0,-4791844.72,-4780172.415739992
2024-03-08 23:41,0.00313093,95699000,149.81,299477,1,299477.06007,-4480695.355669992
2024-03-08 23:41,0.04686907,95699000,2242.66,4483080,1,4483080.46993,2385.1142600076273
2024-03-08 23:42,0.01886625,95698000,902.73,1804559,1,1804559.6625,1806944.7767600077
2024-03-08 23:42,0.05,95587000,2389.67,-4781740,0,-4781739.67,-2974794.893239992
2024-03-08 23:42,0.02316717,95698000,1108.52,2215943,1,2215943.31466,-758851.578579992
2024-03-08 23:42,0.00010449,95698000,4.99,9994,1,9994.49402,-748857.0845599921
2024-03-08 23:42,0.00333122,95698000,159.39,318631,1,318631.70156,-430225.38299999206
2024-03-08 23:42,0.00250835,95698000,120.02,239924,1,239924.0583,-190301.32469999205
